name_formal,state,gov_type,country_code,official_count,term_length,url,upcoming_election,ue_remarks,ue_url_1,special,runoff,lat,lon,next_election_display
Canadian House of Commons,,NATIONAL,CA,338,4 years,https://www.ourcommons.ca/Parliamentarians/en/members,2021-09-20 05:00:00+00:00,Snap election called by Prime Minister on 2021-08-15; 338 seats,https://en.wikipedia.org/wiki/2021_Canadian_federal_election,False,False,47.5262022938486,-87.5725470695648,"Sep 20, 2021"
St. John's City Council,NL,LOCAL,CA,11,4 years,http://www.stjohns.ca/city-hall/about-city-hall/council,2021-09-29 05:00:00+00:00,,,False,False,47.5361038453207,-52.7644391608331,"Sep 29, 2021"
Delta City Council & Mayor,BC,LOCAL,CA,6,4 years,http://www.delta.ca/your-government/mayor-council,2021-10-16 05:00:00+00:00,,,False,False,49.1002103547699,-123.015241905838,"Oct 16, 2021"
Calgary City Council & Mayor,AB,LOCAL,CA,14,4 years,https://www.calgary.ca/CityCouncil/Pages/Councillors-and-Wards.aspx,2021-10-18 05:00:00+00:00,14 seats,https://en.wikipedia.org/wiki/2021_Calgary_municipal_election,False,False,51.0458022488228,-114.07196736766,"Oct 18, 2021"
Edmonton City Council & Mayor,AB,LOCAL,CA,12,4 years,https://www.edmonton.ca/city_government/city_organization/city-councillors.aspx,2021-10-18 05:00:00+00:00,12 councillor seats,https://en.wikipedia.org/wiki/2021_Edmonton_municipal_election,False,False,53.5309702912211,-113.505983717795,"Oct 18, 2021"
