name_formal,state,gov_type,country_code,official_count,term_length,url,upcoming_election,ue_remarks,ue_url_1,special,runoff,lat,lon,next_election_display
Governor of Baja California Sur,BCS,STATE,MX,1,6 years,http://www.bcs.gob.mx/gobernador.html,2021-06-06 05:00:00+00:00,,,False,False,25.9229738224013,-112.051360677499,"Jun 06, 2021"
Governor of Campeche,CAM,STATE,MX,1,6 years,,2021-06-06 05:00:00+00:00,All,,False,False,18.8534653723863,-90.3310082268301,"Jun 06, 2021"
Governor of Colima,COL,STATE,MX,1,6 years,,2021-06-06 05:00:00+00:00,All,,False,False,19.1296004639922,-104.080336058903,"Jun 06, 2021"
Governor of Michoacán,MIC,STATE,MX,1,6 years,http://michoacan.gob.mx/index.php/temas/gobierno-y-estado/gobernador,2021-06-06 05:00:00+00:00,All,,False,False,19.2088455521764,-101.880505999721,"Jun 06, 2021"
Governor of Nayarit,NAY,STATE,MX,1,6 years,,2021-06-06 05:00:00+00:00,All,,False,False,21.8080596919152,-104.855607535665,"Jun 06, 2021"
Governor of Nuevo León,NLE,STATE,MX,1,6 years,,2021-06-06 05:00:00+00:00,All,,False,False,25.5721441085583,-99.9682882091334,"Jun 06, 2021"
Governor of Querétaro,QUE,STATE,MX,1,6 years,,2021-06-06 05:00:00+00:00,,,False,False,20.8548666785377,-99.8458114888224,"Jun 06, 2021"
Governor of Sonora,SON,STATE,MX,1,6 years,http://www.sonora.gob.mx/swb/Sonora/Gobernador,2021-06-06 05:00:00+00:00,All,,False,False,29.6955272602514,-110.804558458023,"Jun 06, 2021"
Governor of Tamaulipas,TAM,STATE,MX,1,6 years,http://tamaulipas.gob.mx/gobierno/gobernador/,2021-06-06 05:00:00+00:00,All,,False,False,24.2931877894613,-98.6392578807332,"Jun 06, 2021"
Governor of Tlaxcala,TLA,STATE,MX,1,6 years,,2021-06-06 05:00:00+00:00,All,,False,False,19.4300756285206,-98.1739003648329,"Jun 06, 2021"
Governor of Zacatecas,ZAC,STATE,MX,1,6 years,http://www.zacatecas.gob.mx/index.php/gobierno/gobernador/,2021-06-06 05:00:00+00:00,All; Election held one year early to meet new federal requirements. Term is still 6 years for Governor.,,False,False,23.2989398350815,-102.656888283731,"Jun 06, 2021"
Governor of San Luis Potosí,SLP,STATE,MX,1,6 years,http://www.slp.gob.mx/gobernador.aspx,2021-06-06 05:00:00+00:00,All,,False,False,22.5836988434807,-100.41787707898,"Jun 06, 2021"
Governor of Guerrero,GRO,STATE,MX,1,6 years,http://guerrero.gob.mx/gobierno/,2021-06-06 05:00:00+00:00,All,,False,False,17.6696436018125,-99.9219140889269,"Jun 06, 2021"
Mexico Chamber of Deputies,,NATIONAL,MX,500,,http://www.diputados.gob.mx/,2021-06-06 05:00:00+00:00,500 seats; 300 seats selected from single-member constituencies by first-past-the-post and 200 seats by proportional representation,,False,False,21.24640058845,-100.231126572019,"Jun 06, 2021"
Jackson City Council & Mayor,MS,LOCAL,US,7,4 years,http://www.jacksonms.gov/index.aspx?nid=111,2021-06-08 05:00:00+00:00,All districts and Mayor are up for election.,"https://ballotpedia.org/City_elections_in_Jackson,_Mississippi_(2021)",False,False,32.3155000215865,-90.2113565330598,"Jun 08, 2021"
Riverside City Council,CA,LOCAL,US,7,4 years,https://riversideca.gov/council/,2021-06-08 05:00:00+00:00,"Districts 2, 4, 6",,False,False,33.9382176509732,-117.408874256255,"Jun 08, 2021"
Governor of Chihuahua,CHH,STATE,MX,1,6 years,,2021-06-06 05:00:00+00:00,,,False,False,28.8049687018102,-106.45919965906,"Jun 06, 2021"
Alabama State Senate,AL,STATE,US,35,4 years,http://www.legislature.state.al.us/aliswww/ISD/Splash_Senate.aspx,2021-07-13 05:00:00+00:00,District 14,,False,False,33.0102375848576,-86.7785303968775,"Jul 13, 2021"
