name_formal,state,gov_type,country_code,official_count,term_length,url,upcoming_election,ue_remarks,ue_url_1,special,runoff,lat,lon,next_election_display
Carrollton City Council,TX,LOCAL,US,8,3 years,https://www.cityofcarrollton.com/government/city-manager-s-office/city-secretary/city-council-191,2021-05-01 05:00:00+00:00,"Places 1, 3, 5 and 7",http://www.cityofcarrollton.com/government/city-council/elections,False,False,32.9884518481436,-96.9000757206527,"May 01, 2021"
Dallas City Council,TX,LOCAL,US,14,2 years,http://dallascityhall.com/government/Pages/city-council.aspx,2021-05-01 05:00:00+00:00,,https://dallascityhall.com/government/citysecretary/elections/Pages/elections.aspx,False,False,32.8107786220177,-96.7769857166466,"May 01, 2021"
Denton City Council,TX,LOCAL,US,7,2 years,https://www.cityofdenton.com/government/city-officials/city-council,2021-05-01 05:00:00+00:00,The four district councilpersons.,,False,False,33.2086020423509,-97.1330246110292,"May 01, 2021"
Fort Worth City Council & Mayor,TX,LOCAL,US,8,2 years,http://fortworthtexas.gov/government/,2021-05-01 05:00:00+00:00,,,False,False,32.7602979947564,-97.337464473253,"May 01, 2021"
Frisco City Council,TX,LOCAL,US,6,3 years,http://www.friscotexas.gov/585/City-Council,2021-05-01 05:00:00+00:00,"districts 1, 3",,False,False,33.1552603824622,-96.8218725949381,"May 01, 2021"
Garland City Council,TX,LOCAL,US,9,2 years,https://www.garlandtx.gov/758/City-Council,2021-05-01 05:00:00+00:00,"Mayor, and Districts 1, 3, 6, 7 and 8",,False,False,32.9064597090776,-96.6344061985364,"May 01, 2021"
Grand Prairie City Council,TX,LOCAL,US,9,3 years,https://www.gptx.org/city-government/mayor-and-city-council,2021-05-01 05:00:00+00:00,"Districts 5, 6 and 8",https://www.gptx.org/city-government/city-secretary/elections,False,False,32.6928520180158,-97.0164148036854,"May 01, 2021"
Irving City Council,TX,LOCAL,US,8,3 years,http://cityofirving.org/210/Meet-Your-Mayor-and-Council,2021-05-01 05:00:00+00:00,"Places 4, 6 and 8.",,False,False,32.8537487920092,-96.9668791458442,"May 01, 2021"
Killeen City Council,TX,LOCAL,US,8,2 years,http://www.killeentexas.gov/153/City-Council,2021-05-01 05:00:00+00:00,district councilmembers,,False,False,31.0772936820629,-97.7287514081938,"May 01, 2021"
Lewisville City Council & Mayor,TX,LOCAL,US,5,3 years,https://www.cityoflewisville.com/about-us/mayor-and-council/city-council-bios,2021-05-01 05:00:00+00:00,Mayor and City Council positions,,False,False,33.0452700116252,-96.9823420093707,"May 01, 2021"
McAllen City Commission,TX,LOCAL,US,7,4 years,http://www.mcallen.net/departments/commission,2021-05-01 05:00:00+00:00,,,False,False,26.2269371614962,-98.2458789500349,"May 01, 2021"
McKinney City Council,TX,LOCAL,US,7,4 years,https://www.mckinneytexas.org/138/City-Council,2021-05-01 05:00:00+00:00,"Mayor, Council Member at-large 1, District 1, District 3",,False,False,33.1977506332948,-96.6747468507355,"May 01, 2021"
Pasadena City Council,TX,LOCAL,US,9,"2 years for Councilmembers, 4 years for Mayor",https://www.pasadenatx.gov/406/City-Council,2021-05-01 05:00:00+00:00,,,False,False,29.6709170915569,-95.1681413965139,"May 01, 2021"
Pearland City Council,TX,LOCAL,US,7,3 years,https://www.pearlandtx.gov/government/city-council,2021-05-08 05:00:00+00:00,2 and 4,,False,False,29.5585186607704,-95.3200788346492,"May 08, 2021"
Plano City Council,TX,LOCAL,US,8,4 years,https://www.plano.gov/1786/Mayor-City-Council,2021-05-01 05:00:00+00:00,Even,,False,False,33.0502364910076,-96.748687524146,"May 01, 2021"
Richardson City Council,TX,LOCAL,US,7,2 years,http://www.cor.net/index.aspx?page=112,2021-05-01 05:00:00+00:00,All seats,https://www.cor.net/government/city-secretary/elections,False,False,32.9716569252982,-96.7093045479518,"May 01, 2021"
Round Rock City Council,TX,LOCAL,US,7,3 years,https://www.roundrocktexas.gov/about/city-council/,2021-05-01 05:00:00+00:00,Places 3 and 5,,False,False,30.5253925639165,-97.6661128683623,"May 01, 2021"
San Angelo City Council,TX,LOCAL,US,7,4 years,http://www.cosatx.us/government/city-council,2021-05-04 05:00:00+00:00,,,False,False,31.4491672049572,-100.454121005081,"May 04, 2021"
San Antonio City Council & Mayor,TX,LOCAL,US,10,2 years,http://www.sanantonio.gov/council/,2021-05-01 05:00:00+00:00,Mayor and all council seats,https://www.sanantonio.gov/ElectionsCampaignFinance,False,False,29.4722067449588,-98.5284163026199,"May 01, 2021"
Sugar Land City Council,TX,LOCAL,US,7,2 years,https://www.sugarlandtx.gov/160/Mayor-City-Council,2021-05-01 05:00:00+00:00,"Districts 1, 2, 3, 4",,False,False,29.5929355489803,-95.6346210201523,"May 01, 2021"
Tyler City Council,TX,LOCAL,US,7,2 years,https://www.cityoftyler.org/government/government/mayor-and-council,2021-05-01 05:00:00+00:00,"Districts 1, 3, and 5",https://www.cityoftyler.org/Departments/CityClerk/Elections.aspx,False,False,32.3169112730971,-95.3033768831068,"May 01, 2021"
Waco City Council,TX,LOCAL,US,6,2 years,http://www.waco-texas.com/council.asp,2021-05-01 05:00:00+00:00,"District II, IV and V",,False,False,31.5529120321802,-97.1646209243079,"May 01, 2021"
Western Australian Legislative Assembly & Legislative Council,WA,STATE,AS,59,maximum of 4 years,https://www.parliament.wa.gov.au/,2021-03-13 05:00:00+00:00,,,False,False,-31.4674503871324,116.617425851809,"Mar 13, 2021"
National Assembly of Wales,Wales,STATE,UK,60,5 years,http://www.assemblywales.org/,2021-05-06 05:00:00+00:00,,,False,False,52.066871216427,-3.55424573132381,"May 06, 2021"
Madison Common Council,WI,LOCAL,US,20,2 years,http://www.cityofmadison.com/council/,2021-04-06 05:00:00+00:00,All 20 seats,,False,False,43.0742768109256,-89.4055655385773,"Apr 06, 2021"
London Assembly & Mayor of London,,LOCAL,UK,25,,https://www.london.gov.uk/about-us/london-assembly/about-london-assembly,2021-05-06 05:00:00+00:00,"25 seats in the London Assembly, rescheduled from 2020 due to COVID-19",https://en.wikipedia.org/wiki/2020_London_Assembly_election,False,False,51.5053203168849,-0.116343593295927,"May 06, 2021"
