name_formal,state,gov_type,country_code,official_count,term_length,url,upcoming_election,ue_remarks,ue_url_1,special,runoff,lat,lon,next_election_display
Las Cruces City Council,NM,LOCAL,US,7,4 years,https://www.las-cruces.org/1487/City-Council,2021-11-02 05:00:00+00:00,3 seats,,False,False,32.3248549305988,-106.77354817278,"Nov 02, 2021"
Laval City Council & Mayor,QC,LOCAL,CA,21,4 years,https://www.laval.ca/Pages/Fr/A-propos/conseillers-municipaux.aspx,2021-11-07 05:00:00+00:00,Mayor plus 21 councillors,,False,False,45.5830244279889,-73.7393219271491,"Nov 07, 2021"
Longueuil City Council & Mayor,QC,LOCAL,CA,15,4 years,https://www.longueuil.quebec/fr/services/instances-decisionnelles-et-consultatives/conseil-de-ville,2021-11-07 05:00:00+00:00,Mayor and City Council,https://www.longueuil.quebec/fr/election-municipale,False,False,45.5184248981743,-73.4582342337795,"Nov 07, 2021"
Lowell City Council,MA,LOCAL,US,9,2 years,https://www.lowellma.gov/517/City-Council,2021-11-02 05:00:00+00:00,First election in districts,,False,False,42.6388709136306,-71.3217140263818,"Nov 02, 2021"
Manchester Board of Aldermen & Mayor,NH,LOCAL,US,14,2 years,https://www.manchesternh.gov/Mayor-and-Aldermen/Aldermen,2021-11-02 05:00:00+00:00,,,False,False,42.9872171748831,-71.450589751053,"Nov 02, 2021"
Manhattan Borough President,NY,LOCAL,US,1,4 years,https://www.manhattanbp.nyc.gov/,2021-11-02 05:00:00+00:00,,,False,False,40.7186206645279,-73.9239051354752,"Nov 02, 2021"
Mayor of Sandy Springs,GA,LOCAL,US,1,4 years,http://www.sandyspringsga.gov/government/mayor-s-office,2021-11-02 05:00:00+00:00,All seats,,False,False,33.9375181308951,-84.3687301151361,"Nov 02, 2021"
Mayor of the City of New York,NY,LOCAL,US,1,4 years,http://www.nyc.gov/,2021-11-02 05:00:00+00:00,,https://en.wikipedia.org/wiki/2021_New_York_City_mayoral_election,False,False,40.7186206645279,-73.9239051354752,"Nov 02, 2021"
Meridian City Council,ID,LOCAL,US,6,4 years,https://meridiancity.org/council/,2021-11-02 05:00:00+00:00,"Seats 2,4,6",,False,False,43.6115751946026,-116.398046380737,"Nov 02, 2021"
Mesquite City Council,TX,LOCAL,US,7,2 years,https://www.cityofmesquite.com/131/City-Council,2021-11-02 05:00:00+00:00,"Mayor and Places 1, 2, 3, 4, 5 and 6",https://www.cityofmesquite.com/152/Elections,False,False,32.7755809167494,-96.6042025493601,"Nov 02, 2021"
Miami City Commission & Mayor,FL,LOCAL,US,5,4 years,https://www.miamigov.com/Government/City-Officials,2021-11-02 05:00:00+00:00,Districts 3 and 5,,False,False,25.7822063119582,-80.2242654610371,"Nov 02, 2021"
Midland City Council,TX,LOCAL,US,7,3 years,http://www.midlandtexas.gov/238/Mayor-City-Council,2021-11-02 05:00:00+00:00,"Districts 1 and 2, plus 2 at-large seats",,False,False,32.0186292347012,-102.114694878918,"Nov 02, 2021"
Minneapolis City Council & Mayor,MN,LOCAL,US,13,4 years,http://www.ci.minneapolis.mn.us/council/,2021-11-02 05:00:00+00:00,13 seats from wards,https://en.wikipedia.org/wiki/2021_Minneapolis_City_Council_election,False,False,44.9609764597756,-93.2683589786542,"Nov 02, 2021"
Montréal City Council & Mayor,QC,LOCAL,CA,103,4 years,"https://ville.montreal.qc.ca/portal/page?_pageid=5798,85933591&_dad=portal&_schema=PORTAL",2021-11-07 05:00:00+00:00,65 seats,https://en.wikipedia.org/wiki/2021_Montreal_municipal_election,False,False,45.5284478803219,-73.6321994620133,"Nov 07, 2021"
Myrtle Beach City Council & Mayor,SC,LOCAL,US,6,4 years,https://www.cityofmyrtlebeach.com/government/mayor_and_city_concil/index.php,2021-11-02 05:00:00+00:00,3 At-Large City council seats (all positions are At-Large) and Mayor are up for election. ,,False,False,33.7088862993339,-78.8853998184954,"Nov 02, 2021"
New Haven Board of Alders & Mayor,CT,LOCAL,US,30,2 years,https://www.newhavenct.gov/gov/depts/alders/default.htm,2021-11-02 05:00:00+00:00,,https://www.newhavenct.gov/gov/depts/clerk/election.htm,False,False,41.3123675150303,-72.9235091889874,"Nov 02, 2021"
"New Jersey General Assembly, State Senate, Governor, & Lieutenant Governor",NJ,STATE,US,40,2 or 4 Years,https://www.njleg.state.nj.us/,2021-11-02 05:00:00+00:00,,,False,False,40.4240456024051,-74.4519332712688,"Nov 02, 2021"
New Orleans City Council & Mayor,LA,LOCAL,US,7,4 years,https://council.nola.gov/home/,2021-11-20 05:00:00+00:00,,,False,False,29.9899391950291,-89.999135135715,"Nov 20, 2021"
New York City Comptroller,NY,LOCAL,US,1,4 years,http://www.comptroller.nyc.gov/,2021-11-02 05:00:00+00:00,,,False,False,40.7186206645279,-73.9239051354752,"Nov 02, 2021"
New York City Council,NY,LOCAL,US,51,4 years,https://council.nyc.gov/,2021-11-02 05:00:00+00:00,51 seats,https://en.wikipedia.org/wiki/2021_New_York_City_Council_election,False,False,40.7186206645279,-73.9239051354752,"Nov 02, 2021"
New York City Public Advocate,NY,LOCAL,US,1,4 years,http://www.pubadvocate.nyc.gov/,2021-11-02 05:00:00+00:00,,,False,False,40.7186206645279,-73.9239051354752,"Nov 02, 2021"
Olathe City Council,KS,LOCAL,US,7,4 years,http://www.olatheks.org/government/city-council,2021-11-02 05:00:00+00:00,"1 at-large, wards 3, 4",https://jocoelection.org/election-facts,False,False,38.8827713107007,-94.8081931762121,"Nov 02, 2021"
Orlando City Council,FL,LOCAL,US,6,4 years,https://www.orlando.gov/Our-Government/Mayor-City-Council,2021-11-02 05:00:00+00:00,"Districts 1, 3, 5",,False,False,28.5087714757249,-81.3695587148265,"Nov 02, 2021"
Overland Park City Council,KS,LOCAL,US,13,4 years,https://www.opkansas.org/city-government/city-council/,2021-11-02 05:00:00+00:00,1 member from each of 6 districts.,,False,False,38.9120893052128,-94.6866381672771,"Nov 02, 2021"
Philadelphia City Controller & District Attorney,PA,LOCAL,US,1,4,,2021-11-02 05:00:00+00:00,,,False,False,40.003642722629,-75.1399952465174,"Nov 02, 2021"
