id,sk,name_formal,state,gov_type,country_code,official_count,term_length,url,upcoming_election,ue_remarks,ue_url_1,special,runoff
2316,2316,Philadelphia Sheriff,PA,LOCAL,US,1,,http://www.officeofphiladelphiasheriff.com/,2023-11-07 00:00:00+00,,,False,False
2548,580,Montgomery County Controller,PA,LOCAL,US,1,,http://controller.montcopa.org/controller/site/default.asp,2023-11-07 00:00:00+00,,,False,False
2549,918,Montgomery County District Attorney,PA,LOCAL,US,1,,,2023-11-07 00:00:00+00,,,False,False
2637,393,San Francisco Mayor,CA,LOCAL,US,1,4 years,http://sfmayor.org/,2023-11-07 00:00:00+00,,,False,False
2777,159,Akron City Council,OH,LOCAL,US,13,4 years,http://www.akroncitycouncil.org/,2023-11-07 00:00:00+00,Mayor and City Council,https://www.summitcountyboe.com/,False,False
2980,2889,Greenville Mayor,SC,LOCAL,US,1,4 years,http://www.greenvillesc.gov/547/Mayor-Knox-White,2023-11-07 00:00:00+00,"Mayor and City Council 1, 3 and 1 At Large",https://www.scvotes.org/greenville,False,False
3038,2887,Charleston Mayor,SC,LOCAL,US,1,4 years,http://charleston-sc.gov/index.aspx?NID=400,2023-11-07 00:00:00+00,Mayor and odd districts,https://www.charleston-sc.gov/396/Election-Information,False,False
3216,3216,Bridgeport Mayor,CT,LOCAL,US,1,4 years,http://www.bridgeportct.gov/mayor,2023-11-07 00:00:00+00,,,False,False
3786,3166,Hartford Mayor,CT,LOCAL,US,1,4 years,http://www.hartford.gov/mayors-office,2023-11-07 00:00:00+00,All,,False,False
3832,3100,Boise Mayor,ID,LOCAL,US,1,4 years,http://mayor.cityofboise.org/,2023-11-07 00:00:00+00,"Mayor, Seats 1, 3, 5",https://www.cityofboise.org/departments/finance-and-administration/city-clerk/city-elections/,False,False
3874,3325,South Bend Common Council,IN,LOCAL,US,9,4 years,https://www.southbendin.gov/government/department/common-council,2023-11-07 00:00:00+00,Mayor and all council members,https://www.sjcindiana.com/232/Voting-Elections,False,False
4012,3165,Hartford Court of Common Council,CT,LOCAL,US,9,4 years,http://www.hartford.gov/council,2023-11-07 00:00:00+00,All,,False,False
4182,4177,Gary Common Council,IN,LOCAL,US,9,4 years,http://www.garycommoncouncil.org/,2023-11-07 00:00:00+00,Mayor and all council seats,,False,False
4184,4179,Munster Town Council,IN,LOCAL,US,5,4 years,http://www.munster.org/council/,2023-11-07 00:00:00+00,All 5 seats,https://www.munster.org/department/division.php?structureid=17,False,False
4320,3125,Knoxville Mayor,TN,LOCAL,US,1,4 years,http://www.knoxvilletn.gov/cms/One.aspx?portalId=109562&pageId=131050,2023-11-07 00:00:00+00,"Mayor and City Council At Large Seat A, At Large Seat B, At Large Seat C, District 5",http://knoxvilletn.gov/residents/newcomer_information/election_information,False,False
4485,147,Houston Mayor,TX,LOCAL,US,1,4 years,http://www.houstontx.gov/council/index.html,2023-11-07 00:00:00+00,,,False,False
4565,3081,Fort Wayne Mayor,IN,LOCAL,US,1,4 years,https://www.cityoffortwayne.org/mayor-office.html,2023-11-07 00:00:00+00,all,https://www.cityoffortwayne.org/city-council.html,False,False
4566,3082,Fort Wayne City Council,IN,LOCAL,US,9,4 years,https://www.cityoffortwayne.org/city-council-home.html,2023-11-07 00:00:00+00,all,https://www.cityoffortwayne.org/city-council.html,False,False
4642,3330,Mayor of Renton,WA,LOCAL,US,1,4 years,https://rentonwa.gov/cms/one.aspx?pageId=8568263,2023-11-07 00:00:00+00,Mayor and 4 council seats,https://www.kingcounty.gov/depts/elections.aspx,False,False
4650,140,Tucson Mayor,AZ,LOCAL,US,1,,https://www.tucsonaz.gov/city-government,2023-11-07 00:00:00+00,"Mayor, Wards 1, 2, and 4",https://www.tucsonaz.gov/clerks/elections,False,False
4696,109,St. Paul City Council,MN,LOCAL,US,7,4 years,https://www.stpaul.gov/departments/city-council,2023-11-07 00:00:00+00,,https://www.stpaul.gov/departments/city-clerk/elections,False,False
4715,106,Akron Mayor,OH,LOCAL,US,1,,https://www.akronohio.gov/cms/Mayor/,2023-11-07 00:00:00+00,Mayor and City Council,https://www.summitcountyboe.com/,False,False
5313,355,Chester County District Attorney,PA,LOCAL,US,1,,https://www.chesco.org/1441/District-Attorney,2023-11-07 00:00:00+00,,,False,False
5318,194,Philadelphia City Commissioners,PA,LOCAL,US,3,,https://www.philadelphiavotes.com/,2023-11-07 00:00:00+00,,,False,False
5371,2856,Common Council of Evansville,IN,LOCAL,US,9,4 years,https://www.evansvillegov.org/city/department/division.php?structureid=66,2023-11-07 00:00:00+00,,https://www.evansvillegov.org/county/department/division.php?structureid=161,False,False
5447,5443,West Jordan Mayor,UT,LOCAL,US,1,4 years,https://www.westjordan.utah.gov/mayor,2023-11-07 00:00:00+00,"Mayor, Numbered Seats, 1 At-large Seat",,False,False
5449,2577,Mississippi Lieutenant Governor,MS,STATE,US,1,4 years,,2023-11-07 00:00:00+00,,,False,False
